92.10 Gemeentecode,92.11 Omschrijving,92.12 Nieuwe code,99.98 Datum ingang,99.99 Datum einde
"0521","Haastrecht","0623","","19850101"
"0522","Hagestein","0620","","19860101"
"0523","Hardinxveld-Giessendam","","19570101",""
"0524","Hazerswoude","0646","","19910101"
"0525","Heenvliet","0568","","19800101"
"0526","Heerjansdam","0642","","20030101"
"0527","Hei- en Boeicop","0707","","19860101"
"0528","Heinenoord","0585","","19840101"
"0529","Noorder-Koggenland","0420","19790101","20070101"
"0530","Hellevoetsluis","1992","","20230101"
"0531","Hendrik-Ido-Ambacht","","",""
"0532","Stede Broec","","19790101",""
"0533","Heukelum","0287","","19860101"
"0534","Hillegom","","",""
"0535","Hoogblokland","0689","","19860101"
"0536","Hoornaar","0689","","19860101"
"0537","Katwijk","","",""
"0538","Kedichem","0545","","19860101"
"0539","Klaaswaal","0611","","19840101"
"0540","Koudekerk aan den Rijn","0646","","19910101"
"0541","Krimpen aan de Lek","0643","","19850101"
"0542","Krimpen aan den IJssel","","",""
"0543","Langerak","0694","","19860101"
"0544","Leerbroek","0707","","19860101"
"0545","Leerdam","1961","","20190101"
"0546","Leiden","","",""
"0547","Leiderdorp","","",""
"0548","Leidschendam","1916","19380101","20020101"
"0549","Leimuiden","0645","","19910101"
"0550","Lekkerkerk","0643","","19850101"
"0551","Lexmond","0707","","19860101"
"0552","De Lier","1783","","20040101"
"0553","Lisse","","",""
"0554","Maasdam","0585","","19840101"
"0555","Maasland","1842","","20040101"
"0556","Maassluis","","",""
"0557","Meerkerk","0707","","19860101"
"0558","Wester-Koggenland","1598","19790101","20070101"
"0559","Middelharnis","1924","","20130101"
"0560","Moerkapelle","0647","","19910101"
"0561","Molenaarsgraaf","0693","","19860101"
"0562","Monster","1783","","20040101"
"0563","Moordrecht","1892","","20100101"
"0564","Mijnsheerenland","0585","","19840101"
"0565","Naaldwijk","1783","","20040101"
"0566","Nieuw-Beijerland","0588","","19840101"
"0567","Nieuwerkerk aan den IJssel","1892","","20100101"
"0568","Bernisse","1930","19800101","20150101"
"0569","Nieuwkoop","","",""
"0570","Nieuwland","0707","","19860101"
"0571","Nieuw-Lekkerland","1927","","20130101"
"0572","Nieuwpoort","0694","","19860101"
"0573","Nieuwveen","1673","","19940101"
"0574","Noordeloos","0689","","19860101"
"0575","Noordwijk","","",""
"0576","Noordwijkerhout","0575","","20190101"
"0577","Nootdorp","1926","","20020101"
"0578","Numansdorp","0611","","19840101"
"0579","Oegstgeest","","",""
"0580","Oostflakkee","1924","19660101","20130101"
"0581","Oostvoorne","0614","","19800101"
"0582","Ottoland","0693","","19860101"
"0583","Oud-Alblas","0693","","19860101"
"0584","Oud-Beijerland","1963","","20190101"
"0585","Binnenmaas","1963","19840101","20190101"
"0586","Oudenhoorn","0568","","19800101"
"0587","Ouderkerk aan den IJssel","0644","","19850101"
"0588","Korendijk","1963","19840101","20190101"
"0589","Oudewater","","",""
"0590","Papendrecht","","",""
"0591","Piershil","0588","","19840101"
"0592","Poortugaal","0613","","19850101"
"0593","Puttershoek","0585","","19840101"
"0594","Pijnacker","1926","","20020101"
"0595","Reeuwijk","1901","","20110101"
"0596","Rhoon","0613","","19850101"
"0597","Ridderkerk","","",""
"0598","Rockanje","0614","","19800101"
"0599","Rotterdam","","",""
"0600","Rozenburg","0599","","20100318"
"0601","Rijnsaterwoude","0645","","19910101"
"0602","Rijnsburg","0537","","20060101"
"0603","Rijswijk","","",""
"0604","Sassenheim","1525","","20060101"
"0605","Schelluinen","0689","","19860101"
"0606","Schiedam","","",""
"0607","Schipluiden","1842","","20040101"
"0608","Schoonhoven","1931","","20150101"
"0609","Schoonrewoerd","0545","","19860101"
"0610","Sliedrecht","","",""
"0611","Cromstrijen","1963","19840101","20190101"
"0612","Spijkenisse","1930","","20150101"
"0613","Albrandswaard","","19850101",""
"0614","Westvoorne","1992","19800101","20230101"
"0615","Stolwijk","0623","","19850101"
"0616","Streefkerk","0694","","19860101"
"0617","Strijen","1963","","20190101"
"0618","Tienhoven (ZH)","0707","","19860101"
"0619","Valkenburg (ZH)","0537","","20060101"
"0620","Vianen","1961","","20190101"
"0621","Vierpolders","0501","","19800101"
"0622","Vlaardingen","","",""
"0623","Vlist","1931","","20150101"
"0624","Voorburg","1916","","20020101"
"0625","Voorhout","1525","","20060101"
"0626","Voorschoten","","",""
"0627","Waddinxveen","","18700701",""
"0628","Warmond","1525","","20060101"
"0629","Wassenaar","","",""
"0630","Wateringen","1783","","20040101"
"0631","Westmaas","0585","","19840101"
"0632","Woerden","","",""
"0633","Woubrugge","0645","","19910101"
"0634","Wijngaarden","0693","","19860101"
"0635","Zevenhoven","0573","","19910101"
"0636","Zevenhuizen","0647","","19910101"
"0637","Zoetermeer","","",""
"0638","Zoeterwoude","","",""
"0639","Zuid-Beijerland","0588","","19840101"
"0640","Zuidland","0568","","19800101"
"0641","Zwartewaal","0501","","19800101"
"0642","Zwijndrecht","","",""
"0643","Nederlek","1931","19850101","20150101"
"0644","Ouderkerk","1931","19850101","20150101"
"0645","Jacobswoude","1884","19910101","20090101"
"0646","Rijneveld","1672","19910101","19930101"
"0647","Moerhuizen","1666","19910101","19920201"
"0648","Aardenburg","1698","","19950101"
"0649","Arnemuiden","0687","","19970101"
"0650","Axel","0715","","20030101"
"0651","Baarland","0654","","19700101"
"0652","Biervliet","0715","","19700401"
"0653","Gaasterlân-Sleat","1921","19850605","20140101"
"0654","Borsele","","19700101",""
"0655","Breskens","0692","","19700401"
"0656","Brouwershaven","1676","","19970101"
"0657","Bruinisse","1676","","19970101"
"0658","Cadzand","0692","","19700401"
"0659","Clinge","0677","","19700401"
"0660","Domburg","0717","","19970101"
"0661","Driewegen","0654","","19700101"
"0662","Duiveland","1676","19610101","19970101"
"0663","Ellewoutsdijk","0654","","19700101"
"0664","Goes","","",""
"0665","Graauw en Langendam","0677","","19700401"
"0666","'s-Gravenpolder","0654","","19700101"
"0667","Groede","0692","","19700401"
"0668","West Maas en Waal","","19850701",""
"0669","'s Heer Abtskerke","0654","","19700101"
"0670","'s-Heer Arendskerke","0664","","19700101"
"0671","'s-Heerenhoek","0654","","19700101"
"0672","Heinkenszand","0654","","19700101"
"0673","Hoedekenskerke","0654","","19700101"
"0674","Hoek","0715","","19700401"
"0675","Hontenisse","0677","","20030101"
"0676","Hoofdplaat","0692","","19700401"
"0677","Hulst","","",""
"0678","Kapelle","","",""
"0679","Kattendijke","0664","","19700101"
"0680","Kloetinge","0664","","19700401"
"0681","Koewacht","0650","","19700401"
"0682","Kortgene","1695","","19950101"
"0683","Wymbritseradiel","1900","19860101","20110101"
"0684","Krabbendijke","0703","","19700101"
"0685","Kruiningen","0703","","19700101"
"0686","Mariekerke","0717","19660701","19970101"
"0687","Middelburg","","",""
"0688","Middenschouwen","1676","19610101","19970101"
"0689","Giessenlanden","1978","19860101","20190101"
"0690","Nieuwvliet","0692","","19700401"
"0691","Nisse","0654","","19700101"
"0692","Oostburg","1714","","20030101"
"0693","Graafstroom","1927","19860101","20130101"
"0694","Liesveld","1927","19860101","20130101"
"0695","Oudelande","0654","","19700101"
"0696","Oud-Vossemeer","0716","","19710701"
"0697","Overslag","0650","","19700401"
"0698","Ovezande","0654","","19700101"
"0699","Philippine","0704","","19700401"
"0700","Poortvliet","0716","","19710701"
"0701","Retranchement","0713","","19700401"
"0702","Rilland-Bath","0703","18771210","19700101"
"0703","Reimerswaal","","19700101",""
"0704","Sas van Gent","0715","","20030101"
"0705","Scherpenisse","0716","","19710701"
"0706","Schoondijke","0692","","19700401"
"0707","Zederik","1961","19860101","20190101"
"0708","Sint-Annaland","0716","","19710701"
"0709","St. Jansteen","0677","","19700401"
"0710","Wûnseradiel","1900","19870101","20110101"
"0711","Sint-Maartensdijk","0716","","19710701"
"0712","Sint Philipsland","0716","","19950101"
"0713","Sluis (oud)","1698","","19950101"
"0714","Stavenisse","0716","","19710701"
"0715","Terneuzen","","",""
"0716","Tholen","","",""
"0717","Veere","","",""
"0718","Vlissingen","","",""
"0719","Vogelwaarde","0675","19360701","19700401"
"0720","Valkenisse","0717","19660701","19970101"
"0721","Waarde","0703","","19700101"
"0722","Waterlandkerkje","0692","","19700401"
"0723","Wemeldinge","0678","","19700101"
"0724","Westdorpe","0704","","19700401"
"0725","Westerschouwen","1676","19610101","19970101"
"0726","Westkapelle","0717","","19970101"
"0727","Wissenkerke","1695","","19950101"
"0728","Wolphaartsdijk","0664","","19700101"
"0729","Yerseke","0703","","19700101"
"0730","IJzendijke","0692","","19700401"
"0731","Zaamslag","0715","","19700401"
"0732","Zierikzee","1676","","19970101"
"0733","Lingewaal","1960","19870103","20190101"
"0734","Zuiddorpe","0650","","19700401"
"0735","Zuidzande","0692","","19700401"
"0736","De Ronde Venen","","19890101",""
"0737","Tytsjerksteradiel","","19890101",""
"0738","Aalburg","1959","","20190101"
"0739","Aarle-Rixtel","1659","","19970101"
"0740","Almkerk","0874","","19730101"
"0741","Alphen en Riel","1723","","19970101"
"0742","Andel","0874","","19730101"
"0743","Asten","","",""
"0744","Baarle-Nassau","","",""
"0745","Bakel en Milheeze","1652","","19970101"
"0746","Beek en Donk","1659","","19970101"
"0747","Beers","1684","","19940101"
"0748","Bergen op Zoom","","",""
"0749","Bergeyk","1724","","19990101"
"0750","Berghem","0828","","19940101"
"0751","Berkel-Enschot","0855","","19970101"
"0752","Berlicum","0845","","19960101"
"0753","Best","","",""
"0754","Bladel en Netersel","1728","","19970101"
"0755","Boekel","","",""
"0756","Boxmeer","1982","","20220101"
"0757","Boxtel","","",""
"0758","Breda","","",""
"0759","Budel","1706","","19980128"
"0760","Chaam","1723","","19970101"
"0761","Cuijk en Sint Agatha","1684","","19940101"
"0762","Deurne","","19260101",""
"0763","Diessen","0798","","19970101"
"0764","Dinteloord en Prinsenland","0851","","19970101"
"0765","Pekela","","19900101",""
"0766","Dongen","","",""
"0767","Drunen","0797","","19970101"
"0768","Den Dungen","0845","","19960101"
"0769","Dussen","0870","","19970101"
"0770","Eersel","","",""
"0771","Eethen","0738","19230501","19730101"
"0772","Eindhoven","","",""
"0773","Empel en Meerwijk","0796","","19710401"
"0774","Engelen","0796","","19710401"
"0775","Erp","0860","","19940101"
"0776","Esch","0788","","19960101"
"0777","Etten-Leur","","19680101",""
"0778","Fijnaart en Heijningen","0878","","19970101"
"0779","Geertruidenberg","","",""
"0780","Geffen","1671","","19930101"
"0781","Geldrop","1771","","20040101"
"0782","Gemert","1652","","19970101"
"0783","Giessen","0874","","19730101"
"0784","Gilze en Rijen","","",""
"0785","Goirle","","",""
"0786","Grave","1982","","20220101"
"0787","'s Gravenmoer","0766","","19970101"
"0788","Haaren","0824","","20210101"
"0789","Halsteren","0748","","19970101"
"0790","Haps","1684","","19940101"
"0791","Heesch","1721","","19950128"
"0792","Heeswijk-Dinther","0791","19690101","19940101"
"0793","Heeze","1658","","19970101"
"0794","Helmond","","",""
"0795","Helvoirt","0788","","19960101"
"0796","'s-Hertogenbosch","","",""
"0797","Heusden","","",""
"0798","Hilvarenbeek","","",""
"0799","Hoeven","1655","","19970101"
"0800","Hoogeloon, Hapert en Casteren","1728","","19970101"
"0801","Hooge en Lage Mierde","1667","","19970101"
"0802","Hooge en Lage Zwaluwe","1665","","19970101"
"0803","Huijbergen","0873","","19970101"
"0804","Klundert","0878","","19970101"
"0805","Leende","1658","","19970101"
"0806","Liempde","0757","","19960101"
"0807","Lieshout","1659","","19970101"
"0808","Lith","0828","","20110101"
"0809","Loon op Zand","","",""
"0810","Luyksgestel","0749","","19970101"
"0811","Maarheeze","0759","","19970101"
"0812","Made en Drimmelen","1665","","19970101"
"0813","Megen, Haren en Macharen","0828","","19940101"
"0814","Mierlo","1771","","20040101"
"0815","Mill en Sint Hubert","1982","","20220101"
"0816","Moergestel","0824","","19970101"
"0817","Nieuw-Ginneken","0758","19420101","19970101"
"0818","Nieuw-Vossemeer","0851","","19970101"
"0819","Nistelrode","0791","","19940101"
"0820","Nuenen, Gerwen en Nederwetten","","",""
"0821","Nuland","1671","","19930101"
"0822","Oeffelt","0756","","19940101"
"0823","Oirschot","","",""
"0824","Oisterwijk","","",""
"0825","Oost-, West- en Middelbeers","0823","","19970101"
"0826","Oosterhout","","",""
"0827","Oploo, St. Anthonis en Ledeacker","1691","","19940101"
"0828","Oss","","",""
"0829","Ossendrecht","0873","","19970101"
"0830","Oudenbosch","1655","","19970101"
"0831","Oud en Nieuw Gastel","1655","","19970101"
"0832","Prinsenbeek","0758","19510101","19970101"
"0833","Putte","0873","","19970101"
"0834","Raamsdonk","0779","","19970101"
"0835","Ravenstein","0828","","20030101"
"0836","Reusel","1667","","19970101"
"0837","Riethoven","0749","","19970101"
"0838","Roosendaal en Nispen","1674","","19970101"
"0839","Rosmalen","0796","","19960101"
"0840","Rucphen","","",""
"0841","Rijsbergen","0879","","19970101"
"0842","Rijswijk (NB)","0874","","19730101"
"0843","Schaijk","1685","","19940101"
"0844","Schijndel","1948","","20170101"
"0845","Sint-Michielsgestel","","",""
"0846","Sint-Oedenrode","1948","","20170101"
"0847","Someren","","",""
"0848","Son en Breugel","","",""
"0849","Sprang-Capelle","0867","19230101","19970101"
"0850","Standdaarbuiten","0878","","19970101"
"0851","Steenbergen","","",""
"0852","Waterland","","19910101",""
"0853","Terheijden","1665","","19970101"
"0854","Teteringen","0758","","19970101"
"0855","Tilburg","","",""
"0856","Uden","1991","","20220101"
"0857","Udenhout","0855","","19970101"
"0858","Valkenswaard","","",""
"0859","Veen","0738","","19730101"
"0860","Veghel","1948","","20170101"
"0861","Veldhoven","","19210101",""
"0862","Vessem, Wintelre en Knegsel","0770","","19970101"
"0863","Vierlingsbeek","0756","","19980101"
"0864","Vlijmen","0797","","19970101"
"0865","Vught","","",""
"0866","Waalre","","",""
"0867","Waalwijk","","",""
"0868","Wanroij","1691","","19940101"
"0869","Waspik","0867","","19970101"
"0870","Werkendam","1959","","20190101"
"0871","Westerhoven","0749","","19970101"
"0872","Willemstad","0878","","19970101"
"0873","Woensdrecht","","",""
"0874","Woudrichem","1959","","20190101"
"0875","Wouw","1674","","19970101"
"0876","Wijk en Aalburg","0738","","19730101"
"0877","Zeeland","1685","","19940101"
"0878","Zevenbergen","1709","","19980401"
"0879","Zundert","","",""
"0880","Wormerland","","19910101",""
"0881","Onderbanken","1954","19820101","20190101"
"0882","Landgraaf","","19820101",""
"0883","Amby","0935","","19700701"
"0884","Amstenrade","0962","","19820101"
"0885","Arcen en Velden","0983","","20100101"
"0886","Baexem","0920","","19910101"
"0887","Beegden","1937","","19910101"
"0888","Beek","","",""
"0889","Beesel","","",""
"0890","Belfeld","0983","","20010101"
"0891","Bemelen","0936","","19820101"
"0892","Berg en Terblijt","0994","","19820101"
"0893","Bergen (L)","","",""
"0894","Bingelrade","0963","","19820101"
"0895","Bocholtz","0965","","19820101"
"0896","Borgharen","0935","","19700701"
"0897","Born","1883","","20010101"
"0898","Broekhuizen","1507","","20010101"
"0899","Brunssum","","",""
"0900","Bunde","0938","","19820101"
"0901","Cadier en Keer","0936","","19820101"
"0902","Echt","1711","","20030101"
"0903","Elsloo","0971","","19820101"
"0904","Eygelshoven","0928","","19820101"
"0905","Eijsden","1903","","20110101"
"0906","Geleen","1883","","20010101"
"0907","Gennep","","",""
"0908","Geulle","0938","","19820101"
"0909","Grathem","0920","","19910101"
"0910","Grevenbicht","0897","","19820101"
"0911","Gronsveld","0905","","19820101"
"0912","Grubbenvorst","1507","","20010101"
"0913","Gulpen","1729","","19990101"
"0914","Haelen","1640","","20070101"
"0915","Heel en Panheel","1937","","19910101"
"0916","Heer","0935","","19700701"
"0917","Heerlen","","",""
"0918","Helden","1894","","20100101"
"0919","Herten","0957","","19910101"
"0920","Heythuysen","1640","","20070101"
"0921","Hoensbroek","0917","","19820101"
"0922","Horn","0914","","19910101"
"0923","Horst","1507","","20010101"
"0924","Hulsberg","0951","","19820101"
"0925","Hunsel","1640","","20070101"
"0926","Itteren","0935","","19700701"
"0927","Jabeek","0963","","19820101"
"0928","Kerkrade","","",""
"0929","Kessel","1894","","20100101"
"0930","Klimmen","0986","","19820101"
"0931","Limbricht","0968","","19820101"
"0932","Linne","0933","","19910101"
"0933","Maasbracht","1641","","20070101"
"0934","Maasbree","1894","","20100101"
"0935","Maastricht","","",""
"0936","Margraten","1903","","20110101"
"0937","Meerlo","0993","","19690701"
"0938","Meerssen","","",""
"0939","Melick en Herkenbosch","1669","","19930101"
"0940","Merkelbeek","0963","","19820101"
"0941","Meijel","1894","","20100101"
"0942","Mheer","0936","","19820101"
"0943","Montfort","0956","","19910101"
"0944","Mook en Middelaar","","",""
"0945","Munstergeleen","0968","","19820101"
"0946","Nederweert","","",""
"0947","Neer","0958","","19910101"
"0948","Nieuwenhagen","0882","","19820101"
"0949","Nieuwstadt","0974","","19820101"
"0950","Noorbeek","0936","","19820101"
"0951","Nuth","1954","","20190101"
"0952","Obbicht en Papenhoven","0897","","19820101"
"0953","Ohé en Laak","0933","","19910101"
"0954","Oirsbeek","0962","","19820101"
"0955","Ottersum","0907","","19730101"
"0956","Posterholt","1679","","19940201"
"0957","Roermond","","",""
"0958","Roggel","1670","","19930101"
"0959","Roosteren","0974","","19820101"
"0960","Schaesberg","0882","","19820101"
"0961","Schimmert","0951","","19820101"
"0962","Schinnen","1954","","20190101"
"0963","Schinveld","0881","","19820101"
"0964","Sevenum","1507","","20100101"
"0965","Simpelveld","","",""
"0966","Sint Geertruid","0936","","19820101"
"0967","Sint Odiliënberg","0956","","19910101"
"0968","Sittard","1883","","20010101"
"0969","Slenaken","0990","","19820101"
"0970","Spaubeek","0888","","19820101"
"0971","Stein","","",""
"0972","Stevensweert","0933","","19910101"
"0973","Stramproy","0988","","19980101"
"0974","Susteren","1711","","20030101"
"0975","Swalmen","0957","","20070101"
"0976","Tegelen","0983","","20010101"
"0977","Thorn","1641","","20070101"
"0978","Ubach over Worms","0882","","19820101"
"0979","Ulestraten","0938","","19820101"
"0980","Urmond","0971","","19820101"
"0981","Vaals","","",""
"0982","Valkenburg-Houthem","0994","19401001","19820101"
"0983","Venlo","","",""
"0984","Venray","","",""
"0985","Vlodrop","0939","","19910101"
"0986","Voerendaal","","",""
"0987","Wanssum","0993","","19690701"
"0988","Weert","","",""
"0989","Wessem","1937","","19910101"
"0990","Wittem","1729","","19990101"
"0991","Wijlre","0913","","19820101"
"0992","Wijnandsrade","0951","","19820101"
"0993","Meerlo-Wanssum","0984","19690701","20100101"
"0994","Valkenburg aan de Geul","","19820101",""
"0995","Lelystad","","19800101",""
"0996","Zuidelijke IJsselmeerpolders","0034","19551130","19960101"
"0997","Centraal Persoonsregister (Niet GBA)","","","19901001"
"0998","Buitenland (Niet GBA)","","","19901001"
"0999","Onbekend (Niet GBA)","","","19901001"
"1000","Aagtekerke","0686","","19660701"
"1001","Aalst","0866","","19230101"
"1002","Aarlanderveen","0484","","19180101"
"1003","Abcoude-Baambrugge","0305","","19410501"
"1004","Abcoude-Proostdij","0305","","19410501"
"1005","Achttienhoven","1224","","19540101"
"1006","Aengwirden","0074","","19340701"
"1007","Alem, Maren en Kessel","0808","","19580101"
"1008","Alphen","0484","","19180101"
"1009","Ambt-Almelo","0141","","19140101"
"1010","Ambt-Doetinchem","0222","","19200101"
"1011","Ambt-Hardenberg","0160","","19410501"
"1012","Ambt-Ommen","0175","","19230501"
"1013","Ambt-Vollenhove","0185","","19420201"
"1014","Ankeveen","0390","","19660801"
"1015","Baardwijk","0867","","19220101"
"1016","Balgoij","0271","","19230501"
